time,temp,wdir,wspd,wgst,pres,rain
1351363799,62.8,68,9,16.0,29.94,0.00
1351364099,62.9,72,11,22.0,29.94,0.00
1351364397,62.7,56,13,20.0,29.92,0.00
1351364689,62.5,65,10,16.0,29.92,0.00
1351365000,62.4,56,13,14.0,29.92,0.00
1351365297,62.3,54,14,19.0,29.92,0.00
1351365596,62.3,60,7,18.0,29.92,0.00
1351365899,62.1,54,10,16.0,29.92,0.00
1351366198,62,71,17,25.0,29.92,0.00
1351366501,62,53,10,18.0,29.92,0.00
1351366797,61.9,84,9,15.0,29.92,0.00
1351367098,61.8,64,14,16.0,29.92,0.00
1351367400,61.7,63,14,14.0,29.92,0.00
1351367702,61.6,63,9,12.0,29.92,0.00
1351367983,61.6,55,14,15.0,29.91,0.00
1351368300,61.6,70,4,14.0,29.91,0.00
1351368601,61.5,60,7,15.0,29.91,0.00
1351368897,61.4,64,14,14.0,29.91,0.00
1351369197,61.4,70,19,19.0,29.91,0.00
1351369499,61.3,82,10,15.0,29.91,0.00
1351369794,61.3,60,12,16.0,29.91,0.00
1351370099,61.2,77,6,9.0,29.91,0.00
1351370395,61.1,82,6,14.0,29.91,0.00
1351370696,61.1,65,14,14.0,29.91,0.00
1351370997,61,68,5,12.0,29.91,0.00
1351371294,60.9,72,7,10.0,29.91,0.00
1351371595,60.9,68,6,8.0,29.92,0.00
1351371894,60.8,79,9,10.0,29.92,0.00
1351372197,60.8,77,9,12.0,29.92,0.00
1351372495,60.7,43,10,19.0,29.92,0.00
1351372798,60.6,69,12,13.0,29.92,0.00
1351373097,60.5,64,5,9.0,29.92,0.00
1351373400,60.5,72,5,7.0,29.92,0.00
1351373690,60.4,70,7,7.0,29.92,0.00
1351373999,60.3,63,4,8.0,29.92,0.00
1351374284,60.2,64,9,11.0,29.92,0.00
1351374601,60.2,60,5,8.0,29.92,0.00
1351374898,60.1,90,13,14.0,29.92,0.00
1351375196,60,69,6,7.0,29.92,0.00
1351375498,59.9,66,3,6.0,29.92,0.00
1351375793,59.9,71,7,9.0,29.92,0.00
1351376092,59.8,42,5,7.0,29.92,0.00
1351376399,59.7,63,5,7.0,29.92,0.00
1351376701,59.7,34,4,6.0,29.92,0.00
1351376996,59.6,18,6,7.0,29.92,0.00
1351377300,59.5,59,6,6.0,29.92,0.00
1351377599,59.5,53,6,10.0,29.92,0.00
1351377898,59.4,65,5,7.0,29.92,0.00
1351378194,59.3,1,3,9.0,29.92,0.00
1351378499,59.2,33,3,3.0,29.92,0.00
1351378796,59.1,359,2,4.0,29.91,0.00
1351379095,58.9,59,2,3.0,29.91,0.00
1351379398,58.9,67,2,4.0,29.91,0.00
1351379696,58.8,59,5,5.0,29.91,0.00
1351380000,58.8,57,5,7.0,29.91,0.00
1351380283,58.6,63,1,4.0,29.91,0.00
1351380597,58.6,68,5,6.0,29.91,0.00
1351380900,58.6,51,3,4.0,29.91,0.00
1351381200,58.6,81,2,4.0,29.91,0.00
1351381498,58.5,36,3,7.0,29.91,0.00
1351381799,58.5,68,3,6.0,29.91,0.00
1351382100,58.5,57,6,11.0,29.91,0.00
1351382395,58.6,11,3,6.0,29.90,0.00
1351382699,58.6,84,3,3.0,29.90,0.00
1351382999,58.6,72,6,7.0,29.90,0.00
1351383295,58.7,20,2,11.0,29.90,0.00
1351383600,58.8,59,9,12.0,29.90,0.00
1351383899,58.9,85,6,10.0,29.90,0.00
1351384196,59,79,11,14.0,29.90,0.00
1351384499,59.2,65,15,15.0,29.90,0.00
1351384799,59.3,74,10,17.0,29.90,0.00
1351385098,59.3,65,6,10.0,29.90,0.00
1351385400,59.4,68,10,10.0,29.90,0.00
1351385699,59.4,70,7,9.0,29.90,0.00
1351385998,59.5,71,5,10.0,29.89,0.00
1351386301,59.5,60,10,12.0,29.89,0.00
1351386599,59.5,71,9,10.0,29.89,0.00
1351386898,59.5,64,6,12.0,29.89,0.00
1351387201,59.5,77,5,11.0,29.89,0.00
1351387500,59.5,59,6,13.0,29.89,0.00
1351387798,59.5,77,6,9.0,29.89,0.00
1351388102,59.5,59,11,14.0,29.89,0.00
1351388402,59.6,85,10,12.0,29.89,0.00
